Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1971,0,0,0,4,7,16,13,6,4,3,0,0
1972,0,0,1,0,6,17,13,12,7,1,0,0
1973,0,0,0,2,6,8,16,15,6,0,0,0
1974,0,0,1,0,2,11,18,9,4,2,0,0
1975,1,0,0,0,4,10,14,11,4,1,0,0
1976,0,0,0,2,9,10,12,14,7,0,0,0
1977,0,0,0,6,10,11,19,12,3,0,0,0
1978,0,0,1,2,8,6,9,7,2,0,0,0
1979,0,0,0,0,5,6,16,12,4,0,0,0
1980,0,0,1,2,9,5,17,7,1,0,0,0
1981,0,0,0,0,12,11,13,17,9,0,0,0
1982,0,0,1,1,12,13,13,16,7,2,1,0
1983,0,1,2,0,5,16,18,13,5,1,1,0
1990,0,0,1,3,6,7,18,15,11,0,0,0
1991,0,0,1,1,14,17,17,16,6,0,0,0
1992,0,0,2,1,9,12,18,16,2,1,0,0
1993,0,0,0,2,14,8,9,13,6,0,0,0
1994,0,0,0,4,9,9,13,15,7,2,1,0
1995,0,0,0,2,13,14,8,11,10,0,0,0
1996,0,0,0,0,3,15,11,14,11,1,0,0
1997,0,0,0,0,8,19,13,21,4,1,0,0
1998,0,0,2,1,7,10,12,14,7,1,0,0
1999,0,0,0,0,9,9,13,14,4,0,0,0
2000,0,0,0,3,3,3,9,17,4,1,0,0
2001,0,0,2,3,5,7,18,15,8,1,0,0
2002,0,0,0,0,5,10,3,12,6,1,0,0
2003,0,0,0,10,10,13,11,6,2,0,0,0
2004,0,0,1,2,6,14,17,12,9,2,0,0
2005,0,0,0,2,6,15,11,9,5,1,0,0
2006,0,0,0,0,7,8,15,12,4,0,0,0
2007,0,0,1,1,1,14,8,11,15,6,2,0
2008,0,0,0,0,3,5,5,11,4,2,0,0
2009,0,0,0,1,6,17,15,10,6,0,0,0
2010,0,0,0,2,4,9,10,10,1,1,0,0
2011,0,0,0,3,3,8,20,7,2,1,1,1
2012,0,0,0,4,3,11,16,4,4,0,0,0
2013,0,0,1,0,4,10,15,16,7,2,0,0
2014,0,0,0,1,10,11,12,11,3,1,1,0
2015,0,0,0,2,13,16,11,8,3,3,0,0
2016,0,0,1,2,7,11,10,8,,3,1,0
2017,0,0,0,2,7,8,7,12,4,1,0,0
2018,0,0,2,1,9,5,11,4,4,1,0,0
2019,0,0,0,2,7,17,15,6,5,0,0,0